ID (n.)	Ps	f.	IIIF-Link image	Transcription	IIIF-Link caption	Translation	DW Ref.	Source	Conservation	Ink	Hand	Type of caption (subcategory)	Psalm-ID	Remarks
15	6	28r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0047_fa_0027v-28r.jp2/pct:65.08957,12.3202,24.55214,25.6723/pct:100/0/default.jpg	τὸ πῦρ τὸ αἰώνιον·	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0047_fa_0027v-28r.jp2/pct:66.72026,15.94747,4.96096,5.53471/pct:100/0/default.jpg	Everlasting fire.	p. 9, pl. XVI	Cf. Lk 16:19	Good	bright red 	E	Descriptive caption (eschatological)	6c	
16	7	29v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0049_fa_0029v-30r.jp2/pct:8.04598,39.55154,27.6092,37.74525/pct:100/0/default.jpg	ὁ Χριστὸς βαπτίζων τοὺς Ἑβραίους.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0049_fa_0029v-30r.jp2/pct:21.93103,43.10184,9.72414,5.5123/pct:100/0/default.jpg	Christ baptizing the Jews.	p. 9, pl. XVII	Cf. John 3:22 + Hes. on title (PG27, 667-668C). 	Partly flaked; Fragment of other caption partly visible 	orange red 	X	Descriptive caption (liturgical)	7a	cf. Athos, Dion. 740, f. 13r
17	7	30r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0049_fa_0029v-30r.jp2/pct:66.22989,12.33261,25.33333,36.09467/pct:100/0/default.jpg	οἱ μέλλοντες ἐλεηθῆν· [ἐλεηθῆν(αι)· DW].	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0049_fa_0029v-30r.jp2/pct:77.10345,15.85176,9.31034,5.5123/pct:100/0/default.jpg	The people who will be pitied.	p. 9, pl. XVII	Cf. Hes. on title (PG27, 667-668).	Good	bright red 	E	Descriptive caption (eschatological)	7b	
18	8	33r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0053_fa_0033r.jp2/pct:32.48663,32.37339,41.57754,41.50943/pct:100/0/default.jpg	ὁ ἅγιος Παῦλος·  	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0053_fa_0033r.jp2/pct:45.76649,34.02847,9.35829,5.52797/pct:100/0/default.jpg	Saint Paul.	p. 10, pl. XVIII	Cf. Theodoret (PG80, 920); JChrys (PG55, 120) cite Paul on last verses of Ps 8.	Good	bright red 	E [D’Aiuto]	Label or short identifying caption	8a	
19	8	33r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0053_fa_0033r.jp2/pct:32.48663,32.37339,41.57754,41.50943/pct:100/0/default.jpg	ὁ ἅγιος Παῦλος·	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0053_fa_0033r.jp2/pct:60.69519,35.02152,9.35829,5.52797/pct:100/0/default.jpg	Saint Paul.	p. 10, pl. XVIII	Cf. Theodoret (PG80, 920); JChrys (PG55, 120) cite Paul on last verses of Ps 8.	Good	bright red 	E	Label or short identifying caption	8b	
20	8	33r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0053_fa_0033r.jp2/pct:32.48663,32.37339,41.57754,41.50943/pct:100/0/default.jpg	ὁ ἅγιος ἀπόστολος Παῦλος διδάσκων τοὺς ὅχλους.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0053_fa_0033r.jp2/pct:45.6328,50.74479,23.52941,5.52797/pct:100/0/default.jpg	The holy apostle Paul is teaching the crowds.	p. 10, pl. XVIII	Cf. Theodoret (PG80, 920); JChrys (PG55, 120) cite Paul on last verses of Ps 8.	Good	dark red 	E [D’Aiuto]	Descriptive caption (pedagogical)	8c	cf. Paris, BnF, Par. gr. 923, ff. 13r, 188v, 312v
21	9	34v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0055_fa_0034v.jp2/pct:28.54671,51.29891,27.20588,15.25814/pct:100/0/default.jpg	οἱ υἱοὶ Κορέ· παρακαλοῦνται τὸν Χριστὸν λέγοντες· ἐπὶ τῇ χάριτι τῆς σῆς παρουσίας· οἱ χαίροντες γὰρ ἀεὶ ψάλλουσιν·	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0055_fa_0034v.jp2/pct:30.57958,52.31832,17.60381,7.72772/pct:100/0/default.jpg	The sons of Korah exhort Christ saying: By the grace of your coming (Parousia); for they rejoice who are always chanting psalms.	p. 10, pl. XVIII	Hes. on v. 3, ed. Jagić p. 11 [DW refers to Venice, BNM, Marc. gr. Z. 535, fol. 12v].	Good	bright red 	E [D’Aiuto]	Speaking caption (Sons of Korah)	9a	
22	9	34v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0055_fa_0034v.jp2/pct:28.54671,51.29891,27.20588,15.25814/pct:100/0/default.jpg	Ἰησοῦς Χριστός.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0055_fa_0034v.jp2/pct:48.65917,51.29891,7.26644,5.5245/pct:100/0/default.jpg	Jesus Christ.	p. 10, pl. XVIII		Partly flaked	bright red 	(E)	Label or short identifying caption	9b	
23	10	41r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0062_fa_0040v-41r.jp2/pct:71.73225,14.76531,16.66667,23.68666/pct:100/0/default.jpg	λέγει ὁ Χριστὸς τοῖς ἀποστόλοις· οὐ παύονται γὰρ οἱ δαίμονες τοξεύοντες τὸν ἄνθρωπον λεληθότος [corr.: λεληθότως]·	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0062_fa_0040v-41r.jp2/pct:73.33786,15.85328,12.55088,5.53311/pct:100/0/default.jpg	Christ says to the apostles: For the demons do not cease to throw darts to man unseen.	p. 10, pl. XVIII	Hes. on v. 2, ed. Jagić, p. 16	Partly flaked	pale red 	H	Speaking caption (Christ)	10a	
24	10	41r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0062_fa_0040v-41r.jp2/pct:71.73225,14.76531,16.66667,23.68666/pct:100/0/default.jpg	Ἰησοῦς Χριστός	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0062_fa_0040v-41r.jp2/pct:75.10176,20.17408,4.02533,5.53311/pct:100/0/default.jpg	Jesus Christ.	p. 10, pl. XVIII		Good	pale red 	(H)	Label or short identifying caption	10b	
25	11	42v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0064_fa_0042v.jp2/pct:26.7706,13.32015,31.53675,60.66601/pct:100/0/default.jpg	ὁ Χριστὸς ὑπὸ νεφελῶν μετὰ δόξης·	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0064_fa_0042v.jp2/pct:32.91759,13.08935,19.86637,5.5061/pct:100/0/default.jpg	Christ over the clouds with glory.	p. 11, pl. XIX	Cf. Hes. on title (PG27, 685-686D).	Good	pale red 	E	Descriptive caption (eschatological)	11a	
26	11	42v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0064_fa_0042v.jp2/pct:26.7706,13.32015,31.53675,60.66601/pct:100/0/default.jpg	χορὸς ἁγίων ἱεραρχῶν·	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0064_fa_0042v.jp2/pct:32.16036,30.59677,18.9755,5.5061/pct:100/0/default.jpg	Choir of the holy hierarchs.	p. 11, pl. XIX		Good	bright red 	E	Descriptive caption (eschatological)	11b	
27	11	42v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0064_fa_0042v.jp2/pct:26.7706,13.32015,31.53675,60.66601/pct:100/0/default.jpg	ὁ παράδεισσος·	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0064_fa_0042v.jp2/pct:37.86192,44.67524,14.20935,5.5061/pct:100/0/default.jpg	Paradise.	p. 11, pl. XIX		Good	bright red 	E	Descriptive caption (eschatological)	11c	
28	11	42v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0064_fa_0042v.jp2/pct:26.7706,13.32015,31.53675,60.66601/pct:100/0/default.jpg	χορὸς ἁγίων μαρτύρων·	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0064_fa_0042v.jp2/pct:28.86414,58.72074,14.20935,5.5061/pct:100/0/default.jpg	Choir of holy martyrs.	p. 11, pl. XIX		Good	bright red 	E	Descriptive caption (eschatological)	11d	
29	11	42v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0064_fa_0042v.jp2/pct:26.7706,13.32015,31.53675,60.66601/pct:100/0/default.jpg	χορὸς ἁγίων ἀποστόλων·	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0064_fa_0042v.jp2/pct:43.0735,58.95153,11.93764,5.5061/pct:100/0/default.jpg	Choir of holy apostles.	p. 11, pl. XIX		Good	bright red 	E	Descriptive caption (eschatological)	11e	
30	12	44r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0067_fa_0044r.jp2/pct:46.12629,57.05214,28.30273,15.60829/pct:100/0/default.jpg	ὁ Χριστὸς εὐλογῶν τὸν Δαυίδ· καὶ ἀφεῖλεν κύριος τὸ ἁμάρτημά σου.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0067_fa_0044r.jp2/pct:49.66413,60.2607,14.0618,5.51471/pct:100/0/default.jpg	Christ is blessing David: and the Lord absolves your sin.	p. 11, pl. XIX	Cf. Hes. on title (PG27, 687-688D).	Very good 	dark red 	E	Descriptive caption (liturgical; Jewish persons and references)	12a	
31	12	44v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0068_fa_0044v-45r.jp2/pct:13.31027,12.9854,16.0323,57.00528/pct:100/0/default.jpg	ὁ Ἀδὰμ καὶ ἡ Ἔυα·	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0068_fa_0044v-45r.jp2/pct:15.77855,20.62752,11.09573,5.52967/pct:100/0/default.jpg	Adam and Eve.	p. 11, pl. XIX		Good	dark red, black, overwritten 	E?	Label or short identifying caption	12b	
32	12	44v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0068_fa_0044v-45r.jp2/pct:13.31027,12.9854,16.0323,57.00528/pct:100/0/default.jpg	ὁ ἀϊδης·	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0068_fa_0044v-45r.jp2/pct:18.36217,40.94439,3.85236,1.39795/pct:100/0/default.jpg	Hades.	p. 11, pl. XIX		Flaked	dark red 	E?	Label or short identifying caption	12c	
33	12	44v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0068_fa_0044v-45r.jp2/pct:13.31027,12.9854,16.0323,57.00528/pct:100/0/default.jpg	καὶ οἱ νεκροὶ ἐν Χριστῷ ἀναστήσονται·	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0068_fa_0044v-45r.jp2/pct:16.97809,50.48152,10.35755,6.46163/pct:100/0/default.jpg	And the dead will rise up in Christ.	p. 11, pl. XIX		Good	dark red 	E	Descriptive caption (eschatological)	12d	
34	12	45r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0068_fa_0044v-45r.jp2/pct:71.21107,8.97794,15.22491,16.99285/pct:100/0/default.jpg	ὁ Χριστὸς συγχωρῶν τὸν Δαυίδ.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0068_fa_0044v-45r.jp2/pct:75.594,11.21466,8.9504,5.00155/pct:100/0/default.jpg	Christ is forgiving David.	p. 11, pl. XIX	/	Partly flaked	bright red 	E	Descriptive caption (David)	12e	
35	13	46r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0069_fa_0045v-46r.jp2/pct:71.41869,21.63265,15.29412,26.59341/pct:100/0/default.jpg	Ἰησοῦς Χριστός	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0069_fa_0045v-46r.jp2/pct:76.33218,21.53846,4.82122,4.89796/pct:100/0/default.jpg	Jesus Christ.	p. 12, pl. XX	Hes. on v. 1 written below the image (PG27, 689B11 –  βδελλυκτοὶ ἐγένοντο).	Good	dark red 	E	Label or short identifying caption	13a  	
36	13	46r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0069_fa_0045v-46r.jp2/pct:71.41869,21.63265,15.29412,26.59341/pct:100/0/default.jpg	ἡ ἀναλήψιμος·	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0069_fa_0045v-46r.jp2/pct:72.7105,24.67818,10.51903,4.89796/pct:100/0/default.jpg	The Ascension.	p. 12, pl. XX		Good	dark red 	E	Label or short identifying caption	13b	
37	13	46r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0069_fa_0045v-46r.jp2/pct:71.41869,21.63265,15.29412,26.59341/pct:100/0/default.jpg	οἱ κατάσκοποι τοῦ Δαυίδ· ἐμολύνθησαν καὶ ἐβδελύχθησαν παρὰ τοῦ θεοῦ.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0069_fa_0045v-46r.jp2/pct:72.7797,39.90581,9.73472,6.75039/pct:100/0/default.jpg	The spies of David were stained and were made an abomination before the God.	p. 12, pl. XX	Cf. 1 Kgdms 26.	Good	dark red 	E	Descriptive caption (David)	13c	
38	14	47v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0071_fa_0047v.jp2/pct:28.0531,29.48929,27.83186,29.95058/pct:100/0/default.jpg	ὁ Χριστὸς μετὰ τοῦ ληστοῦ·	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0071_fa_0047v.jp2/pct:36.90265,41.08731,10.26549,4.90939/pct:100/0/default.jpg	Christ with the [good] thief.	p. 12, pl. XX	Cf. Lk 23:43, cf. Hes. on v. 1 (PG27, 692-693).	Good	bright red 	E	Descriptive caption (Christ)	14	
39	15 (or 14)	48v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0073_fa_0048v.jp2/pct:28.96948,53.15375,27.06767,13.23916/pct:100/0/default.jpg	οἱ ἐφίορκοι·	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0073_fa_0048v.jp2/pct:37.1517,54.43495,10.43786,4.89488/pct:100/0/default.jpg	The perjurers.	p. 13, pl. XX	Cf. Theodoret on Ps 14:4 (PG80, 956)	Good	dark red 	E	Descriptive caption (Jewish persons and references)	15 (14)	
40	16	50v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0076_fa_0050v.jp2/pct:25.76822,59.64567,27.17296,16.66667/pct:100/0/default.jpg	ὁ ἅγιος Ἀμφιλόχιος ἐρωτώμενος ὑπὸ τοῦ κατασκόπου.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0076_fa_0050v.jp2/pct:27.08516,59.64567,12.73047,4.88845/pct:100/0/default.jpg	St Amphilochios is questioned by the ‘visitor’.	p. 13, pl. XX	/	Very good	bright red 	E	Descriptive caption (Saint)	16a	
41	16	51r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0077_fa_0051r.jp2/pct:44.81992,13.69185,29.61316,26.29495/pct:100/0/default.jpg	ὁ Νεμὰν καὶ ὁ Ἰδιθοὺμ ἐρωτῶν τὸν ἅγιον Ἀρέθαν διὰ τὸν Δαυίδ.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0077_fa_0051r.jp2/pct:48.51045,17.32102,13.60605,4.88288/pct:100/0/default.jpg	Heman and Jeduthoun are questioning St Arethas through David.	p. 13, pl. XXI	/	Good	dark red	E	Descriptive caption (Saint)	16b	
42	16	51r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0077_fa_0051r.jp2/pct:44.55313,39.92082,30.6803,30.91389/pct:100/0/default.jpg	Οἱ υἱοὶ τοῦ Κορὲ ἐξαγορίαν ποιούμενοι εἰς τὸν ἅγιον Σίλβεστρον.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0077_fa_0051r.jp2/pct:49.84438,41.47146,16.00711,4.88288/pct:100/0/default.jpg	The Sons of Korah are making confession to St Silvester.	p. 13, pl. XXI	/	Good	dark red 	E	Descriptive caption (Saint)	16c	
